Stadtteil;B_Bev;B_Bev18;B_Bev18_rel;B_Bev65;B_Bev65_rel;B_BevAusl;B_BevAusl_rel;B_BevMigr;B_BevMigr_rel;B_BevMigr18;B_BevMigr18_rel;H_Haushalt;H_HaushaltPers;H_EinpersHaushalte;H_EinpersHaushalte_rel;H_KindHaushalte;H_KindHaushalte_rel;H_Alleinerziehende;H_Alleinerziehende_rel;F_Flaeche;F_BevDichte;E_Geburten;E_Sterbefaelle;E_Zuzuege;E_Fortzuege;E_WanderungsSaldo;A_SozVersBeschaeftigte;A_Beschaeftigte_rel;A_Arbeitslose;A_Arbeitslose_rel;A_JungeArbeitslose;A_JungeArbeitslose_rel;A_AlteArbeitslose;A_AlteArbeitslose_rel;L_LeistungsemSGB;L_LeistungsemSGB_rel;L_Mindestsich15;L_Mindestsich15_rel;L_BedarfsgemSGB;L_Grundsich65;L_Grundsich65_rel;W_Wohngebaeude;W_Wohnungen;W_WohnungenBezugsf;W_WohnungenEinZweiFH;W_WohnungenEinZweiFH_rel;W_Wohnungsgroesse;W_WohnflaecheEinw;W_Sozialwohnungen;W_Sozialwohnungen_rel;W_SozialwohnungenBindungsauslauf;W_SozialwohnungenBindungsauslauf_rel;W_PreiseGrundstuecke;W_PreiseEinZweiFH;W_PreiseEigentumsW;VS_Kindergaerten;VS_Grundschulen;VS_SchuelerSek1;VS_SchuelerStadtteilschulen_rel;VS_SchuelerGymnasien_rel;VA_Aerzte;VA_Allgemeinaerzte;VA_Zahnaerzte;VA_Apotheken;P_PrivatePKW;P_PKWDichte;P_ElektroPKW
Sasel;23778;4570;19.2;6092;25.6;1439;6.1;4075;17.1;1196;26.3;11177;2.2;4054;36.3;2702;24.2;368;13.6;8.4;2843;172;197;1698;1489;209;7864;56.5;238;1.7;22;1.0;65;1.9;396;1.7;95;2.5;224;80;1.3;7528;10987;94;7611;69.3;112.7;52.1;36;0.3;0;0.0;616;4164;3313;12;3;1568;29.7;67.5;32;9;12;2;12094;509;33
Poppenbüttel;23948;3961;16.5;7756;32.4;2174;9.1;5519;23.1;1520;38.5;11259;2.0;4595;40.8;2291;20.3;362;15.8;8.1;2955;203;537;2585;1607;978;7324;56.9;369;2.9;39;2.0;70;2.4;1050;4.4;309;9.3;522;125;1.6;6232;10778;130;6128;56.9;103.8;46.7;250;2.3;80;32.0;596;3839;3716;11;3;1256;31.9;64.8;128;28;46;9;10793;451;30
Hummelsbüttel;18464;3316;18.0;4502;24.4;3042;16.5;6835;37.0;1788;54.1;8784;2.0;3718;42.3;1887;21.5;490;26.0;9.1;2033;177;172;2335;1748;587;6374;57.0;625;5.6;69;3.8;112;4.7;2050;11.1;597;21.4;989;291;6.5;2805;8407;206;2247;26.7;88.3;40.2;1602;19.1;671;41.9;676;4294;3578;12;1;1063;48.1;48.4;13;8;11;2;7258;393;29
Lemsahl-Mellingstedt;6803;1346;19.8;1413;20.8;378;5.6;1148;16.8;352;26.2;3004;2.3;894;29.8;795;26.5;119;15.0;8.0;850;66;42;1000;1174;-174;2263;53.1;93;2.2;;;20;1.7;142;2.1;53;4.7;58;16;1.1;2405;2866;94;2522;88.0;131.2;55.3;39;1.4;29;74.4;564;4136;;5;1;422;33.4;63.5;3;2;1;1;3904;574;16
Duvenstedt;6220;1352;21.7;1193;19.2;492;7.9;1037;16.7;388;28.7;2600;2.3;810;31.2;728;28.0;130;17.9;6.8;917;39;55;405;411;-6;2127;53.8;91;2.3;12;1.6;19;2.1;257;4.1;106;9.9;81;19;1.6;1800;2547;19;1845;72.4;118.3;48.4;82;3.2;0;0.0;540;4257;;2;1;506;30.0;66.0;14;5;8;2;3205;515;9
Wohldorf-Ohlstedt;4662;953;20.4;1005;21.6;232;5.0;659;14.1;207;21.7;2085;2.3;657;31.5;554;26.6;76;13.7;17.3;270;35;15;365;300;65;1415;48.9;41;1.4;;;11;1.6;85;1.8;27;3.5;40;8;0.8;1547;1993;26;1594;80.0;144.0;61.5;0;0.0;0;0.0;600;4679;4476;4;1;330;21.5;69.7;0;0;4;1;2577;553;12
Bergstedt;10692;2270;21.2;2282;21.3;938;8.8;1899;17.8;638;28.1;4826;2.1;1887;39.1;1239;25.7;206;16.6;7.0;1519;90;105;858;973;-115;3623;55.4;172;2.6;12;1.1;39;2.8;570;5.3;194;10.3;242;36;1.6;2871;4611;32;2821;61.2;103.5;44.6;187;4.1;0;0.0;558;3996;2772;9;1;759;34.9;54.9;8;5;5;2;4873;456;10
Volksdorf;20863;4137;19.8;5470;26.2;1575;7.5;3611;17.3;1088;26.4;9607;2.2;3639;37.9;2338;24.3;480;20.5;11.6;1802;127;233;1785;1556;229;6221;51.5;258;2.1;24;1.1;53;1.8;687;3.3;223;6.7;331;89;1.6;5573;9131;79;5345;58.5;112.9;49.4;351;3.8;70;19.9;739;4516;3661;14;4;1527;31.9;60.2;90;29;28;4;9363;449;20
Rahlstedt;91740;16092;17.5;20371;22.2;12493;13.6;30515;33.2;7963;49.6;47056;1.9;21821;46.4;9591;20.4;2590;27.0;26.6;3453;935;1014;9551;9181;370;34849;60.2;2687;4.6;261;2.8;487;4.1;9219;10.0;2887;21.5;4464;1477;7.3;15408;44491;336;12674;28.5;81.3;39.4;3473;7.8;743;21.4;512;3573;3268;37;12;5111;52.8;41.8;158;57;64;15;36222;395;82
Lohbrügge;39809;6227;15.6;9261;23.3;5280;13.3;16138;40.5;3632;58.6;21123;1.9;10323;48.9;3878;18.4;1121;28.9;13.0;3052;341;481;3620;2825;795;15769;62.1;1176;4.6;104;2.4;234;4.5;3957;9.9;1054;20.4;2095;660;7.1;5782;20477;395;4464;21.8;74.8;38.5;1396;6.8;719;51.5;422;3088;2848;14;4;1976;56.9;40.1;45;17;26;5;14682;369;19
Bergedorf;35289;6145;17.4;7163;20.3;5001;14.2;11487;32.6;2856;46.6;18125;1.9;8894;49.1;3543;19.5;939;26.5;10.4;3407;425;387;3649;4011;-362;13913;60.6;1090;4.7;74;2.0;198;4.7;3478;9.9;1003;19.5;1829;473;6.6;5193;17209;232;4070;23.7;79.5;38.8;716;4.2;185;25.8;453;3139;3185;22;4;1959;49.0;45.7;151;38;52;11;12346;350;59
Curslack;4029;846;21.0;619;15.4;714;17.7;1099;27.3;372;44.3;1611;2.2;574;35.6;397;24.6;79;19.9;10.6;381;41;32;504;447;57;1564;57.9;105;3.9;;;14;2.4;496;12.3;199;28.0;195;21;3.4;963;1488;9;991;66.6;105.0;38.8;5;0.3;0;0.0;305;;;1;1;254;55.1;40.9;8;5;0;1;1833;455;6
Altengamme;2231;415;18.6;434;19.5;104;4.7;227;10.2;65;15.7;1014;2.2;349;34.4;252;24.9;46;18.3;15.6;143;25;23;143;156;-13;908;62.3;32;2.2;;;;;67;3.0;18;5.3;33;5;1.2;643;909;0;698;76.8;107.8;43.9;4;0.4;0;0.0;268;2435;;1;1;135;51.1;45.2;1;1;0;0;1268;568;10
Neuengamme;3742;655;17.5;773;20.7;178;4.8;391;10.4;104;15.9;1716;2.2;585;34.1;414;24.1;72;17.4;18.6;201;33;31;282;238;44;1482;60.8;61;2.5;;;14;2.4;119;3.2;36;6.8;59;8;1.0;1066;1573;38;1148;73.0;107.7;45.3;20;1.3;0;0.0;295;;;2;0;221;63.3;31.7;1;1;3;1;2045;546;2
Kirchwerder;10029;1771;17.7;1983;19.8;746;7.4;1279;12.8;337;19.1;4636;2.2;1586;34.2;1099;23.7;199;18.1;32.3;310;89;88;908;793;115;4283;65.2;134;2.0;16;1.7;28;1.9;306;3.1;94;6.4;147;27;1.4;2855;4234;65;3109;73.4;106.7;45.0;26;0.6;8;30.8;281;2982;;7;3;576;60.1;37.2;7;7;3;2;5495;548;10
Ochsenwerder;2788;529;19.0;514;18.4;197;7.1;430;15.5;121;23.3;1311;2.1;476;36.3;328;25.0;56;17.1;14.1;198;36;17;326;188;138;1151;63.0;34;1.9;;;;;65;2.3;15;3.4;37;8;1.6;760;1171;60;788;67.3;117.6;49.4;21;1.8;0;0.0;272;3032;;2;1;133;63.2;36.8;2;2;0;0;1595;572;5
Reitbrook;497;60;12.1;133;26.8;30;6.0;51;10.3;8;13.3;249;2.0;104;41.8;42;16.9;3;7.1;6.9;72;5;4;50;54;-4;;;;;;;;;10;2.0;0;0.0;6;0;0.0;148;232;1;152;65.5;120.0;56.0;0;0.0;0;0.0;263;;;0;0;15;66.7;26.7;0;0;2;0;291;586;0
Allermöhe;1367;218;15.9;272;19.9;165;12.1;329;23.9;69;31.8;688;2.0;293;42.6;128;18.6;27;21.1;8.6;158;17;10;130;126;4;586;63.6;26;2.8;;;10;4.4;31;2.3;13;7.5;17;4;1.5;460;602;8;506;84.1;114.6;50.5;0;0.0;0;0.0;265;3004;3262;2;0;73;52.1;45.2;0;0;1;0;777;568;1
Billwerder;3901;1156;29.6;314;8.0;2766;70.9;2895;74.7;1032;89.5;1357;2.7;421;31.0;497;36.6;81;16.3;9.5;412;84;9;537;522;15;762;29.4;333;12.9;29;4.7;20;7.1;2077;53.2;791;79.3;699;78;24.8;384;562;2;408;72.6;94.1;13.6;780;;0;0.0;274;;;5;1;332;79.8;16.0;0;0;0;0;624;160;1
Moorfleet;1235;196;15.9;204;16.5;199;16.1;325;26.2;69;34.3;604;1.9;279;46.2;108;17.9;19;17.6;4.4;282;9;9;150;177;-27;460;52.8;20;2.3;;;;;77;6.2;21;13.2;42;19;9.3;333;449;3;360;80.2;101.4;36.9;0;0.0;0;0.0;253;;;0;0;67;56.7;41.8;0;0;0;0;645;522;0
Tatenberg;552;99;17.9;108;19.6;33;6.0;64;11.7;12;12.1;250;2.2;88;35.2;63;25.2;7;11.1;3.1;180;4;4;25;31;-6;;;;;;;;;3;0.5;0;0.0;3;0;0.0;169;228;1;192;84.2;114.9;47.4;0;0.0;0;0.0;275;;;0;0;45;53.3;46.7;0;0;0;0;318;576;1
Spadenland;510;69;13.5;121;23.7;20;3.9;43;8.4;7;10.1;256;2.0;105;41.0;44;17.2;7;15.9;3.4;149;1;7;40;35;5;;;;;;;;;3;0.6;0;0.0;3;0;0.0;119;226;14;120;53.1;106.1;47.0;0;0.0;0;0.0;275;;;0;0;27;51.9;48.1;0;0;0;0;298;584;0
Neuallermöhe;23620;5456;23.1;2182;9.2;3990;16.9;15282;64.6;4314;79.0;9621;2.4;3005;31.2;3126;32.5;838;26.8;4.2;5618;279;86;1452;1845;-393;10101;59.7;907;5.4;56;1.7;133;3.9;3826;16.2;1309;29.1;1573;424;19.4;3194;9229;2;2505;27.1;80.3;31.4;4760;51.6;719;15.1;311;;;7;3;1845;56.6;41.4;16;10;8;2;7875;333;5
Harburg;25912;4080;15.7;2807;10.8;10381;40.1;15432;59.5;3321;81.7;14795;1.7;9069;61.3;2332;15.8;709;30.4;4.0;6493;337;174;5086;5018;68;10810;55.2;1305;6.7;136;3.4;196;8.8;4600;17.8;1322;37.7;2314;468;16.7;1594;12879;80;291;2.3;60.3;30.0;1093;8.5;244;22.3;336;2647;3566;16;1;1129;68.6;22.9;179;33;63;13;5032;194;39
Neuland und Gut Moor;1729;396;22.9;259;15.0;514;29.7;758;43.5;252;62.8;758;2.2;321;42.3;181;23.9;29;16.0;10.1;172;20;14;282;287;-5;621;54.2;54;4.7;;;;;260;15.0;108;33.2;89;8;3.1;437;573;6;474;82.7;103.0;34.1;0;0.0;0;0.0;561;;;0;1;121;63.6;26.4;0;0;0;0;702;406;6
Wilstorf;17506;3075;17.6;3308;18.9;4367;24.9;8056;46.0;2160;70.5;9460;1.9;4998;52.8;1800;19.0;461;25.6;3.4;5114;241;235;1927;1849;78;6968;60.4;644;5.6;58;3.1;91;4.6;2360;13.5;759;28.6;1113;199;6.0;2053;8713;24;1448;16.6;69.0;34.4;849;9.7;493;58.1;382;2739;2831;11;1;899;58.8;35.4;23;12;5;2;5574;318;3
Rönneburg;3430;690;20.1;583;17.0;714;20.8;1322;38.4;396;57.1;1571;2.1;621;39.5;358;22.8;71;19.8;2.2;1526;28;25;529;344;185;1323;58.2;92;4.0;13;3.0;15;3.1;269;7.8;98;17.0;115;16;2.7;782;1399;7;764;54.6;96.4;39.3;153;10.9;147;96.1;358;;;1;1;221;44.3;52.0;0;0;0;0;1457;425;2
Langenbek;4040;622;15.4;948;23.5;438;10.8;1319;32.7;296;47.7;2022;2.0;786;38.9;411;20.3;114;27.7;0.8;5091;27;40;312;300;12;1584;61.4;81;3.1;;;18;2.5;238;5.9;65;12.7;127;38;4.0;1195;1875;0;1129;60.2;86.9;40.3;290;15.5;198;68.3;344;2764;;1;0;188;45.2;46.3;0;0;0;1;1804;447;2
Sinstorf;4207;994;23.6;643;15.3;1052;25.0;1885;44.8;680;68.7;1769;2.2;690;39.0;464;26.2;97;20.9;2.5;1672;69;27;517;437;80;1594;58.6;108;4.0;10;1.9;;;623;14.8;250;29.7;244;21;3.3;883;1574;27;916;58.2;90.5;33.9;104;6.6;0;0.0;311;2642;2969;2;1;279;52.3;42.3;9;3;4;0;1561;371;6
Marmstorf;8929;1396;15.6;2519;28.2;1064;11.9;2511;28.2;627;45.6;4645;2.0;2012;43.3;856;18.4;193;22.5;5.8;1528;84;107;733;623;110;3222;61.2;145;2.8;13;1.5;38;3.3;465;5.2;130;11.4;234;75;3.0;2238;4285;12;2138;49.9;89.5;42.9;110;2.6;0;0.0;382;2971;2258;3;1;475;32.4;62.1;8;6;6;2;3854;432;11
Eißendorf;24679;4184;17.0;4956;20.1;4593;18.6;9800;39.7;2450;58.5;13117;1.9;6538;49.8;2532;19.3;616;24.3;8.3;2959;262;275;2538;2347;191;9624;59.4;734;4.5;57;2.0;125;4.2;2488;10.1;745;21.1;1234;294;5.9;4316;12262;143;3668;29.9;78.4;38.9;674;5.5;307;45.5;409;2840;3098;8;3;1321;47.8;44.9;14;10;9;2;8966;363;14
Heimfeld;22106;3801;17.2;3440;15.6;5428;24.6;9988;45.4;2394;63.4;12127;1.8;6760;55.7;2261;18.6;573;25.3;13.0;1700;292;249;3106;3105;1;9153;59.3;857;5.5;91;3.2;121;5.4;2541;11.5;731;22.7;1345;305;8.9;2488;10551;7;1541;14.6;71.5;34.1;1577;14.9;282;17.9;365;2933;3052;8;2;1138;48.4;35.6;27;8;12;3;6339;287;21
Moorburg und Altenwerder;754;159;21.1;109;14.5;82;10.9;152;20.1;39;24.5;391;2.0;195;49.9;84;21.5;28;33.3;16.7;45;7;5;66;66;0;;;;;;;;;81;10.7;34;25.8;34;7;6.4;226;328;0;242;73.8;99.4;43.2;0;0.0;0;0.0;263;;;1;0;49;57.1;28.6;0;0;0;0;379;503;1
Hausbruch;17067;3240;19.0;3432;20.1;2660;15.6;9218;54.0;2295;71.1;7765;2.2;2955;38.1;1888;24.3;455;24.1;9.8;1735;158;170;1344;1266;78;6499;59.1;692;6.3;61;3.0;130;5.2;2460;14.4;726;27.4;1099;418;12.2;2973;7211;12;2710;37.6;84.5;35.7;1148;15.9;146;12.7;273;2860;;9;1;1118;58.8;32.2;17;4;10;2;6230;365;7
Neugraben-Fischbek;30690;6168;20.1;6109;19.9;5517;18.0;14452;47.1;4006;65.3;14216;2.1;5626;39.6;3424;24.1;801;23.4;22.5;1363;383;290;3024;2279;745;11123;57.5;1276;6.6;127;3.8;189;4.9;4208;13.7;1279;24.5;1980;537;8.8;5968;13052;391;5503;42.2;86.0;36.6;819;6.3;258;31.5;298;2906;2639;15;5;1870;59.8;33.4;41;15;20;5;10827;353;16
Francop;709;104;14.7;130;18.3;85;12.0;119;16.9;13;12.7;352;2.0;148;42.0;64;18.2;15;23.4;8.8;80;8;5;60;57;3;;;;;;;;;26;3.7;7;8.1;12;3;2.3;204;342;1;250;73.1;97.8;47.2;0;0.0;0;0.0;263;;;0;0;37;56.8;40.5;1;0;0;0;371;523;1
Neuenfelde;4848;1068;22.0;729;15.0;1515;31.3;2388;49.5;697;65.9;2128;2.2;912;42.9;513;24.1;110;21.4;15.7;309;62;29;677;672;5;1723;53.4;186;5.8;17;2.8;25;4.7;704;14.5;268;30.1;273;32;4.4;1043;1958;13;1191;60.8;95.3;38.5;291;14.9;0;0.0;257;2355;;3;1;354;63.3;33.1;1;1;3;1;1924;397;2
Cranz;799;119;14.9;150;18.8;216;27.0;319;40.1;67;56.8;470;1.7;266;56.6;70;14.9;21;30.0;1.3;599;11;3;99;144;-45;;;;;;;;;84;10.5;24;25.0;44;7;4.7;168;403;5;144;35.7;87.2;44.0;0;0.0;0;0.0;266;;;1;1;37;40.5;51.4;2;2;0;0;352;441;0
