Stadtteil;B_Bev;B_Bev18;B_Bev18_rel;B_Bev65;B_Bev65_rel;B_BevAusl;B_BevAusl_rel;B_BevMigr;B_BevMigr_rel;B_BevMigr18;B_BevMigr18_rel;H_Haushalt;H_HaushaltPers;H_EinpersHaushalte;H_EinpersHaushalte_rel;H_KindHaushalte;H_KindHaushalte_rel;H_Alleinerziehende;H_Alleinerziehende_rel;F_Flaeche;F_BevDichte;E_Geburten;E_Sterbefaelle;E_Zuzuege;E_Fortzuege;E_WanderungsSaldo;A_SozVersBeschaeftigte;A_Beschaeftigte_rel;A_Arbeitslose;A_Arbeitslose_rel;A_JungeArbeitslose;A_JungeArbeitslose_rel;A_AlteArbeitslose;A_AlteArbeitslose_rel;L_LeistungsemSGB;L_LeistungsemSGB_rel;L_Mindestsich15;L_Mindestsich15_rel;L_BedarfsgemSGB;L_Grundsich65;L_Grundsich65_rel;W_Wohngebaeude;W_Wohnungen;W_WohnungenBezugsf;W_WohnungenEinZweiFH;W_WohnungenEinZweiFH_rel;W_Wohnungsgroesse;W_WohnflaecheEinw;W_Sozialwohnungen;W_Sozialwohnungen_rel;W_SozialwohnungenBindungsauslauf;W_SozialwohnungenBindungsauslauf_rel;W_PreiseGrundstuecke;W_PreiseEinZweiFH;W_PreiseEigentumsW;VS_Kindergaerten;VS_Grundschulen;VS_SchuelerSek1;VS_SchuelerStadtteilschulen_rel;VS_SchuelerGymnasien_rel;VA_Aerzte;VA_Allgemeinaerzte;VA_Zahnaerzte;VA_Apotheken;P_PrivatePKW;P_PKWDichte;P_ElektroPKW
Osdorf;26635;5490;20.6;5814;21.8;4918;18.5;10998;41.3;3180;58.1;13179;2.0;6133;46.5;3056;23.2;870;28.5;7.3;3673;272;331;2471;2165;306;8834;54.5;938;5.8;68;2.5;143;4.5;3691;13.9;1213;26.2;1701;493;8.5;4066;12655;71;3365;26.6;84.6;40.2;1224;9.7;711;58.1;893;5387;3151;14;4;1844;49.3;44.1;71;18;17;6;9129;343;26
Nienstedten;7274;1427;19.6;1859;25.6;762;10.5;1471;20.2;405;28.3;3549;2.1;1550;43.7;831;23.4;120;14.4;4.4;1661;49;99;730;684;46;1857;43.7;67;1.6;;;13;1.4;43;0.6;6;0.5;32;11;0.6;1828;3258;16;1727;53.0;124.6;55.8;0;0.0;0;0.0;1356;7979;6190;7;1;515;13.2;76.3;17;1;7;2;3676;505;13
Blankenese;13686;2532;18.5;3758;27.5;1305;9.5;2561;18.7;663;26.3;7082;2.0;3219;45.5;1464;20.7;262;17.9;7.7;1769;108;107;1405;1163;242;3747;47.9;148;1.9;10;0.8;39;2.4;162;1.2;32;1.5;109;54;1.4;3424;6898;45;3126;45.3;117.4;59.2;48;0.7;0;0.0;1709;7578;5193;8;1;872;18.8;77.6;111;23;24;5;6666;487;20
Iserbrook;11369;2064;18.2;2872;25.3;986;8.7;2535;22.3;702;34.1;5681;2.0;2589;45.6;1246;21.9;283;22.7;2.7;4258;93;153;1005;1007;-2;3976;58.7;251;3.7;17;1.7;59;3.9;563;5.0;140;8.1;325;121;4.2;2511;5735;38;2340;40.8;84.1;42.4;132;2.3;0;0.0;662;4037;3913;9;3;666;41.0;52.9;8;6;5;1;4608;405;8
Sülldorf;9489;1839;19.4;1936;20.4;1201;12.7;2316;24.4;595;32.3;4521;2.0;2087;46.2;1019;22.5;218;21.4;5.7;1654;81;85;1005;1064;-59;3217;53.3;263;4.4;22;2.1;57;4.7;701;7.4;164;10.8;424;94;4.9;2425;4459;29;2283;51.2;91.2;42.8;210;4.7;47;22.4;813;4389;3810;2;1;610;38.0;56.6;15;7;4;2;3706;391;7
Rissen;15763;3023;19.2;4628;29.4;1640;10.4;3218;20.4;1006;33.4;7903;2.0;3557;45.0;1736;22.0;315;18.1;16.7;944;114;238;1620;1010;610;4580;53.1;288;3.3;18;1.3;61;3.3;839;5.3;288;11.5;370;160;3.5;3800;7714;272;3520;45.6;99.8;48.8;178;2.3;170;95.5;691;4826;3853;8;2;1016;34.4;62.5;33;9;16;4;6767;429;17
Eimsbüttel;58196;7446;12.8;7368;12.7;6962;12.0;13815;23.7;2425;32.6;39070;1.5;26307;67.3;5050;12.9;1242;24.6;3.2;18042;749;348;7230;7017;213;28018;63.4;1530;3.5;65;1.4;250;4.2;2380;4.1;401;6.0;1683;709;9.6;3264;34348;113;309;0.9;63.9;37.7;646;1.9;228;35.3;1786;;5341;63;6;1921;32.3;61.7;290;32;63;13;14877;256;30
Rotherbaum;16875;2252;13.3;2681;15.9;2894;17.1;5157;30.5;844;37.5;10964;1.6;7122;65.0;1435;13.1;305;21.3;2.7;6169;187;90;2666;2641;25;6500;53.1;312;2.5;;;63;3.5;421;2.5;68;3.5;298;170;6.3;1206;10023;43;332;3.3;83.1;49.4;79;0.8;79;100.0;4227;;7683;16;1;639;15.0;82.3;137;19;47;6;5382;319;37
Harvestehude;17944;2715;15.1;3729;20.8;2305;12.8;4775;26.6;922;34.1;10960;1.7;6530;59.6;1694;15.5;345;20.4;2.1;8751;177;136;2152;2202;-50;6037;50.7;339;2.8;16;1.0;68;3.1;520;2.9;86;3.7;367;230;6.2;1352;10190;154;534;5.2;96.1;54.6;43;0.4;13;30.2;4639;;8634;19;0;823;17.3;80.0;151;13;46;5;6894;384;39
Hoheluft-West;13438;1674;12.5;1852;13.8;1478;11.0;2907;21.6;474;28.4;9005;1.5;5949;66.1;1181;13.1;278;23.5;0.7;18676;171;98;1895;1874;21;6511;64.3;299;3.0;13;1.2;65;4.9;331;2.5;44;3.0;260;102;5.5;803;8022;4;108;1.3;66.4;39.6;12;0.1;0;0.0;2124;;5807;9;1;430;24.4;71.6;27;7;11;3;3613;269;9
